perception,LOC,C3,CBO,MPC,RFC,WMC,Readability,Avg-commit-size,number-changes,number-committors,persistance,number-fixes,avg.dev.scattering,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOCNAMM_type,CFNAMM_type,TCC_type,NOC_type,LCOM5_type,WOC_type,WMCNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,isStatic_type,NOPA_type,number_private_visibility_attributes,number_protected_visibility_attributes,number_package_visibility_attributes,num_final_attributes,num_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_final_not_static_attributes,num_static_not_final_attributes,number_public_visibility_methods,number_private_visibility_methods,number_protected_visibility_methods,number_package_visibility_methods,number_final_methods,number_abstract_methods,number_not_abstract_not_final_methods,number_static_methods,number_final_static_methods,number_final_not_static_methods,number_not_final_static_methods,number_not_final_not_static_methods,number_standard_design_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,is_controller,is_procedural,is_test,is_util,is_external
NON-SEVERE,1059,0.71,3,0.43,0,5,0.8,8,9,4,3,7,0.14,0,1,0,2,0,0,2,1,3,539,6,93,2,1,0,1,0.5,2,47,199,0,4448,226,0,0,3,0,0,1,1,1,2,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,1,TRUE,FALSE,TRUE,FALSE,FALSE
NON-SEVERE,1045,0.7,3,0.55,1,7,0.72,10,5,4,1,17,0.16,2,0,0,78,0,0,0,78,8,50,2,2200,0,0.010723,0,0.993506,0.882353,826,16,426,3,13853,439,0,8,0,0,0,8,8,8,0,0,0,60,8,10,0,73,0,5,8,8,65,0,5,74,0,4,FALSE,FALSE,FALSE,FALSE,FALSE
NON-SEVERE,958,0.72,4,0.53,0,12,0.7,3,2,3,3,15,0.18,0,0,0,2,?,0,3,2,2,?,7,25,5,1,2,1,?,6,11,79,0,912,80,0,0,0,0,2,0,0,0,2,0,0,0,0,1,1,0,0,2,0,0,0,0,2,1,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
NON-SEVERE,925,0.73,5,0.41,3,16,0.72,6,5,5,3,13,0.1,0,0,0,1,0,0,0,1,3,0,1,8,0,1,0,0,0.25,1,5,36,0,292,36,1,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE
NON-SEVERE,1065,0.17,19,0.54,7,60,0.05,7,86,7,2,14,0.61,1,1,0,395,0,44,77,394,142,0,1,4124,156,0.000169,0,1,0.755299,937,16,957,3,19269,1001,0,126,0,16,0,138,138,138,4,0,0,393,0,2,0,1,0,394,387,1,0,386,8,392,0,2,FALSE,FALSE,TRUE,FALSE,FALSE
NON-SEVERE,894,0.25,20,0.42,5,66,0.04,7,85,6,1,11,0.88,0,0,0,1,0,0,0,1,0,15,5,7,0,1,0,0,1,1,5,8,0,43,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,FALSE,FALSE,FALSE,TRUE,FALSE
NON-SEVERE,1099,0.32,14,0.54,6,50,0.04,7,134,5,2,10,0.83,0,0,0,4,0,0,0,4,0,15,4,18,0,1,0,0,1,4,5,8,0,43,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,4,FALSE,FALSE,FALSE,TRUE,FALSE
NON-SEVERE,1056,0.69,7,0.49,0,10,0.76,3,7,5,1,8,0.2,0,8,0,34,0,86,50,26,11,0,1,972,57,0.48,0,0.903581,0.75,116,18,159,0,4370,209,0,0,11,0,0,0,0,0,11,0,0,28,5,1,0,0,0,34,0,0,0,0,34,23,0,3,FALSE,FALSE,TRUE,TRUE,FALSE
NON-SEVERE,962,0.73,6,0.49,3,7,0.88,7,2,7,3,9,0.14,0,0,0,6,0,3,1,6,2,32,3,54,2,1,0,1,0.5,9,20,72,0,701,72,0,2,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,6,0,0,0,0,6,6,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
NON-SEVERE,1015,0.25,17,0.49,11,43,0.1,3,209,5,1,7,0.63,0,0,0,2,2,0,0,2,4,30,3,18,0,1,0,0.5,0.333333,4,20,72,0,701,72,0,4,0,0,0,0,1,0,3,0,1,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
