smell,type,value,head,fea_num,features,approach
Shotgun Surgery,agreement,0.06951871657754011,coupling,2,"{'Avg-commit-size': 288, 'persistance': 92, 'is_test': 72, 'avg.dev.scattering': 38, 'NOCS_package': 16, 'TCC_type': 15, 'LOCNAMM_type': 14, 'MPC': 8, 'CBO': 6, 'WMCNAMM_type': 5, 'number_constructor_NotDefaultConstructor_methods': 4, 'num_static_attributes': 4, 'CFNAMM_type': 4, 'number_constructor_DefaultConstructor_methods': 4, 'number_standard_design_methods': 2, 'WMC': 2, 'C3': 2, 'Readability': 2, 'WOC_type': 2, 'number_abstract_methods': 2, 'number_private_visibility_methods': 1, 'number_final_static_methods': 1, 'number_not_final_static_methods': 1, 'number_package_visibility_attributes': 1, 'NOMNAMM_package': 1, 'LOC': 1, 'number-committors': 1, 'number_static_methods': 1}",AS_Additive
Shotgun Surgery,agreement,1.0,changehistory,2,"{'Avg-commit-size': 288, 'persistance': 92, 'is_test': 72, 'avg.dev.scattering': 38, 'NOCS_package': 16, 'TCC_type': 15, 'LOCNAMM_type': 14, 'MPC': 8, 'CBO': 6, 'WMCNAMM_type': 5, 'number_constructor_NotDefaultConstructor_methods': 4, 'num_static_attributes': 4, 'CFNAMM_type': 4, 'number_constructor_DefaultConstructor_methods': 4, 'number_standard_design_methods': 2, 'WMC': 2, 'C3': 2, 'Readability': 2, 'WOC_type': 2, 'number_abstract_methods': 2, 'number_private_visibility_methods': 1, 'number_final_static_methods': 1, 'number_not_final_static_methods': 1, 'number_package_visibility_attributes': 1, 'NOMNAMM_package': 1, 'LOC': 1, 'number-committors': 1, 'number_static_methods': 1}",AS_Additive
Shotgun Surgery,agreement,0.11428571428571428,cohesion,2,"{'Avg-commit-size': 288, 'persistance': 92, 'is_test': 72, 'avg.dev.scattering': 38, 'NOCS_package': 16, 'TCC_type': 15, 'LOCNAMM_type': 14, 'MPC': 8, 'CBO': 6, 'WMCNAMM_type': 5, 'number_constructor_NotDefaultConstructor_methods': 4, 'num_static_attributes': 4, 'CFNAMM_type': 4, 'number_constructor_DefaultConstructor_methods': 4, 'number_standard_design_methods': 2, 'WMC': 2, 'C3': 2, 'Readability': 2, 'WOC_type': 2, 'number_abstract_methods': 2, 'number_private_visibility_methods': 1, 'number_final_static_methods': 1, 'number_not_final_static_methods': 1, 'number_package_visibility_attributes': 1, 'NOMNAMM_package': 1, 'LOC': 1, 'number-committors': 1, 'number_static_methods': 1}",AS_Additive
Shotgun Surgery,agreement,0.23076923076923078,size,2,"{'Avg-commit-size': 288, 'persistance': 92, 'is_test': 72, 'avg.dev.scattering': 38, 'NOCS_package': 16, 'TCC_type': 15, 'LOCNAMM_type': 14, 'MPC': 8, 'CBO': 6, 'WMCNAMM_type': 5, 'number_constructor_NotDefaultConstructor_methods': 4, 'num_static_attributes': 4, 'CFNAMM_type': 4, 'number_constructor_DefaultConstructor_methods': 4, 'number_standard_design_methods': 2, 'WMC': 2, 'C3': 2, 'Readability': 2, 'WOC_type': 2, 'number_abstract_methods': 2, 'number_private_visibility_methods': 1, 'number_final_static_methods': 1, 'number_not_final_static_methods': 1, 'number_package_visibility_attributes': 1, 'NOMNAMM_package': 1, 'LOC': 1, 'number-committors': 1, 'number_static_methods': 1}",AS_Additive
Shotgun Surgery,agreement,0.04225352112676056,complexity,2,"{'Avg-commit-size': 288, 'persistance': 92, 'is_test': 72, 'avg.dev.scattering': 38, 'NOCS_package': 16, 'TCC_type': 15, 'LOCNAMM_type': 14, 'MPC': 8, 'CBO': 6, 'WMCNAMM_type': 5, 'number_constructor_NotDefaultConstructor_methods': 4, 'num_static_attributes': 4, 'CFNAMM_type': 4, 'number_constructor_DefaultConstructor_methods': 4, 'number_standard_design_methods': 2, 'WMC': 2, 'C3': 2, 'Readability': 2, 'WOC_type': 2, 'number_abstract_methods': 2, 'number_private_visibility_methods': 1, 'number_final_static_methods': 1, 'number_not_final_static_methods': 1, 'number_package_visibility_attributes': 1, 'NOMNAMM_package': 1, 'LOC': 1, 'number-committors': 1, 'number_static_methods': 1}",AS_Additive
Shotgun Surgery,agreement,0.0,production,2,"{'Avg-commit-size': 288, 'persistance': 92, 'is_test': 72, 'avg.dev.scattering': 38, 'NOCS_package': 16, 'TCC_type': 15, 'LOCNAMM_type': 14, 'MPC': 8, 'CBO': 6, 'WMCNAMM_type': 5, 'number_constructor_NotDefaultConstructor_methods': 4, 'num_static_attributes': 4, 'CFNAMM_type': 4, 'number_constructor_DefaultConstructor_methods': 4, 'number_standard_design_methods': 2, 'WMC': 2, 'C3': 2, 'Readability': 2, 'WOC_type': 2, 'number_abstract_methods': 2, 'number_private_visibility_methods': 1, 'number_final_static_methods': 1, 'number_not_final_static_methods': 1, 'number_package_visibility_attributes': 1, 'NOMNAMM_package': 1, 'LOC': 1, 'number-committors': 1, 'number_static_methods': 1}",AS_Additive
Shotgun Surgery,agreement,0.0,testing,2,"{'Avg-commit-size': 288, 'persistance': 92, 'is_test': 72, 'avg.dev.scattering': 38, 'NOCS_package': 16, 'TCC_type': 15, 'LOCNAMM_type': 14, 'MPC': 8, 'CBO': 6, 'WMCNAMM_type': 5, 'number_constructor_NotDefaultConstructor_methods': 4, 'num_static_attributes': 4, 'CFNAMM_type': 4, 'number_constructor_DefaultConstructor_methods': 4, 'number_standard_design_methods': 2, 'WMC': 2, 'C3': 2, 'Readability': 2, 'WOC_type': 2, 'number_abstract_methods': 2, 'number_private_visibility_methods': 1, 'number_final_static_methods': 1, 'number_not_final_static_methods': 1, 'number_package_visibility_attributes': 1, 'NOMNAMM_package': 1, 'LOC': 1, 'number-committors': 1, 'number_static_methods': 1}",AS_Additive
Complex Class,agreement,0.6027397260273972,all,2,"{'CBO': 258, 'WMC': 241, 'RFC': 61, 'NOAM_type': 9, 'number_public_visibility_methods': 4, 'number_final_methods': 3, 'WOC_type': 3, 'NOA_type': 1, 'is_procedural': 1, 'NOCS_package': 1}",AS_Additive
Complex Class,entropy,0.9342813896066894,all,2,"{'CBO': 258, 'WMC': 241, 'RFC': 61, 'NOAM_type': 9, 'number_public_visibility_methods': 4, 'number_final_methods': 3, 'WOC_type': 3, 'NOA_type': 1, 'is_procedural': 1, 'NOCS_package': 1}",AS_Additive
Complex Class,agreement,1.0,coupling,2,"{'CBO': 258, 'WMC': 241, 'RFC': 61, 'NOAM_type': 9, 'number_public_visibility_methods': 4, 'number_final_methods': 3, 'WOC_type': 3, 'NOA_type': 1, 'is_procedural': 1, 'NOCS_package': 1}",AS_Additive
Complex Class,agreement,0.0,changehistory,2,"{'CBO': 258, 'WMC': 241, 'RFC': 61, 'NOAM_type': 9, 'number_public_visibility_methods': 4, 'number_final_methods': 3, 'WOC_type': 3, 'NOA_type': 1, 'is_procedural': 1, 'NOCS_package': 1}",AS_Additive
Complex Class,agreement,0.0,cohesion,2,"{'CBO': 258, 'WMC': 241, 'RFC': 61, 'NOAM_type': 9, 'number_public_visibility_methods': 4, 'number_final_methods': 3, 'WOC_type': 3, 'NOA_type': 1, 'is_procedural': 1, 'NOCS_package': 1}",AS_Additive
Complex Class,agreement,1.0,size,2,"{'CBO': 258, 'WMC': 241, 'RFC': 61, 'NOAM_type': 9, 'number_public_visibility_methods': 4, 'number_final_methods': 3, 'WOC_type': 3, 'NOA_type': 1, 'is_procedural': 1, 'NOCS_package': 1}",AS_Additive
Complex Class,agreement,0.8389830508474576,complexity,2,"{'CBO': 258, 'WMC': 241, 'RFC': 61, 'NOAM_type': 9, 'number_public_visibility_methods': 4, 'number_final_methods': 3, 'WOC_type': 3, 'NOA_type': 1, 'is_procedural': 1, 'NOCS_package': 1}",AS_Additive
Complex Class,agreement,0.0,production,2,"{'CBO': 258, 'WMC': 241, 'RFC': 61, 'NOAM_type': 9, 'number_public_visibility_methods': 4, 'number_final_methods': 3, 'WOC_type': 3, 'NOA_type': 1, 'is_procedural': 1, 'NOCS_package': 1}",AS_Additive
Complex Class,agreement,0.0,testing,2,"{'CBO': 258, 'WMC': 241, 'RFC': 61, 'NOAM_type': 9, 'number_public_visibility_methods': 4, 'number_final_methods': 3, 'WOC_type': 3, 'NOA_type': 1, 'is_procedural': 1, 'NOCS_package': 1}",AS_Additive
Spaghetti Code,agreement,0.8213058419243986,all,2,"{'Readability': 196, 'NOM_package': 131, 'NOC_type': 48, 'number_abstract_methods': 31, 'number_constructor_DefaultConstructor_methods': 25, 'LCOM5_type': 7, 'number_final_not_static_methods': 6, 'number_package_visibility_methods': 6, 'WOC_type': 6, 'number_private_visibility_attributes': 4, 'WMCNAMM_type': 4, 'MPC': 4, 'is_controller': 3, 'number_constructor_NotDefaultConstructor_methods': 3, 'number_private_visibility_methods': 3, 'CBO': 3, 'CFNAMM_type': 3, 'WMC': 2, 'NOCS_package': 2, 'number_protected_visibility_methods': 2, 'NOPA_type': 2, 'LOC': 1, 'number_final_methods': 1, 'number_not_final_not_static_methods': 1, 'num_final_not_static_attributes': 1, 'number-committors': 1, 'number-changes': 1, 'is_external': 1}",AS_Reductive
Spaghetti Code,entropy,0.7409730565072848,all,2,"{'Readability': 196, 'NOM_package': 131, 'NOC_type': 48, 'number_abstract_methods': 31, 'number_constructor_DefaultConstructor_methods': 25, 'LCOM5_type': 7, 'number_final_not_static_methods': 6, 'number_package_visibility_methods': 6, 'WOC_type': 6, 'number_private_visibility_attributes': 4, 'WMCNAMM_type': 4, 'MPC': 4, 'is_controller': 3, 'number_constructor_NotDefaultConstructor_methods': 3, 'number_private_visibility_methods': 3, 'CBO': 3, 'CFNAMM_type': 3, 'WMC': 2, 'NOCS_package': 2, 'number_protected_visibility_methods': 2, 'NOPA_type': 2, 'LOC': 1, 'number_final_methods': 1, 'number_not_final_not_static_methods': 1, 'num_final_not_static_attributes': 1, 'number-committors': 1, 'number-changes': 1, 'is_external': 1}",AS_Reductive
Spaghetti Code,agreement,0.0,coupling,2,"{'Readability': 196, 'NOM_package': 131, 'NOC_type': 48, 'number_abstract_methods': 31, 'number_constructor_DefaultConstructor_methods': 25, 'LCOM5_type': 7, 'number_final_not_static_methods': 6, 'number_package_visibility_methods': 6, 'WOC_type': 6, 'number_private_visibility_attributes': 4, 'WMCNAMM_type': 4, 'MPC': 4, 'is_controller': 3, 'number_constructor_NotDefaultConstructor_methods': 3, 'number_private_visibility_methods': 3, 'CBO': 3, 'CFNAMM_type': 3, 'WMC': 2, 'NOCS_package': 2, 'number_protected_visibility_methods': 2, 'NOPA_type': 2, 'LOC': 1, 'number_final_methods': 1, 'number_not_final_not_static_methods': 1, 'num_final_not_static_attributes': 1, 'number-committors': 1, 'number-changes': 1, 'is_external': 1}",AS_Reductive
Spaghetti Code,agreement,1.0,changehistory,2,"{'Readability': 196, 'NOM_package': 131, 'NOC_type': 48, 'number_abstract_methods': 31, 'number_constructor_DefaultConstructor_methods': 25, 'LCOM5_type': 7, 'number_final_not_static_methods': 6, 'number_package_visibility_methods': 6, 'WOC_type': 6, 'number_private_visibility_attributes': 4, 'WMCNAMM_type': 4, 'MPC': 4, 'is_controller': 3, 'number_constructor_NotDefaultConstructor_methods': 3, 'number_private_visibility_methods': 3, 'CBO': 3, 'CFNAMM_type': 3, 'WMC': 2, 'NOCS_package': 2, 'number_protected_visibility_methods': 2, 'NOPA_type': 2, 'LOC': 1, 'number_final_methods': 1, 'number_not_final_not_static_methods': 1, 'num_final_not_static_attributes': 1, 'number-committors': 1, 'number-changes': 1, 'is_external': 1}",AS_Reductive
Spaghetti Code,agreement,0.0,cohesion,2,"{'Readability': 196, 'NOM_package': 131, 'NOC_type': 48, 'number_abstract_methods': 31, 'number_constructor_DefaultConstructor_methods': 25, 'LCOM5_type': 7, 'number_final_not_static_methods': 6, 'number_package_visibility_methods': 6, 'WOC_type': 6, 'number_private_visibility_attributes': 4, 'WMCNAMM_type': 4, 'MPC': 4, 'is_controller': 3, 'number_constructor_NotDefaultConstructor_methods': 3, 'number_private_visibility_methods': 3, 'CBO': 3, 'CFNAMM_type': 3, 'WMC': 2, 'NOCS_package': 2, 'number_protected_visibility_methods': 2, 'NOPA_type': 2, 'LOC': 1, 'number_final_methods': 1, 'number_not_final_not_static_methods': 1, 'num_final_not_static_attributes': 1, 'number-committors': 1, 'number-changes': 1, 'is_external': 1}",AS_Reductive
Spaghetti Code,agreement,0.9240506329113924,size,2,"{'Readability': 196, 'NOM_package': 131, 'NOC_type': 48, 'number_abstract_methods': 31, 'number_constructor_DefaultConstructor_methods': 25, 'LCOM5_type': 7, 'number_final_not_static_methods': 6, 'number_package_visibility_methods': 6, 'WOC_type': 6, 'number_private_visibility_attributes': 4, 'WMCNAMM_type': 4, 'MPC': 4, 'is_controller': 3, 'number_constructor_NotDefaultConstructor_methods': 3, 'number_private_visibility_methods': 3, 'CBO': 3, 'CFNAMM_type': 3, 'WMC': 2, 'NOCS_package': 2, 'number_protected_visibility_methods': 2, 'NOPA_type': 2, 'LOC': 1, 'number_final_methods': 1, 'number_not_final_not_static_methods': 1, 'num_final_not_static_attributes': 1, 'number-committors': 1, 'number-changes': 1, 'is_external': 1}",AS_Reductive
Spaghetti Code,agreement,0.7796610169491526,complexity,2,"{'Readability': 196, 'NOM_package': 131, 'NOC_type': 48, 'number_abstract_methods': 31, 'number_constructor_DefaultConstructor_methods': 25, 'LCOM5_type': 7, 'number_final_not_static_methods': 6, 'number_package_visibility_methods': 6, 'WOC_type': 6, 'number_private_visibility_attributes': 4, 'WMCNAMM_type': 4, 'MPC': 4, 'is_controller': 3, 'number_constructor_NotDefaultConstructor_methods': 3, 'number_private_visibility_methods': 3, 'CBO': 3, 'CFNAMM_type': 3, 'WMC': 2, 'NOCS_package': 2, 'number_protected_visibility_methods': 2, 'NOPA_type': 2, 'LOC': 1, 'number_final_methods': 1, 'number_not_final_not_static_methods': 1, 'num_final_not_static_attributes': 1, 'number-committors': 1, 'number-changes': 1, 'is_external': 1}",AS_Reductive
